 [Fe/H] = -2.50 [alpha/Fe] = 0.40 BC value = G_BP 
 -5.2047 -4.8625 -4.6145 -4.3419 -4.0420 -3.7960 -3.6539 -3.5684 -3.4735 -3.3470
 -3.2052 -3.0522 -2.8993 -2.7559 -2.6183 -2.3090 -2.0495 -1.8461 -1.6831
 -4.8180 -4.4212 -4.1263 -3.8855 -3.6892 -3.5329 -3.4075 -3.3011 -3.2026 -3.1040
 -2.9991 -2.8828 -2.7542 -2.6223 -2.4967 -2.2222 -1.9969 -1.8180 -1.6786 -1.5731
 -4.5574 -4.1396 -3.8211 -3.5891 -3.4309 -3.3112 -3.2012 -3.0987 -3.0058 -2.9204
 -2.8340 -2.7411 -2.6345 -2.5169 -2.4022 -2.1544 -1.9555 -1.7971 -1.6755 -1.5815
 -1.5062
 -4.4229 -4.0177 -3.6989 -3.4527 -3.2671 -3.1309 -3.0350 -2.9612 -2.8831 -2.7962
 -2.7099 -2.6271 -2.5402 -2.4397 -2.3348 -2.1056 -1.9253 -1.7834 -1.6737 -1.5880
 -1.5188 -1.4606
 -4.3276 -3.9466 -3.6410 -3.3979 -3.2057 -3.0553 -2.9387 -2.8473 -2.7742 -2.7074
 -2.6310 -2.5469 -2.4656 -2.3800 -2.2864 -2.0718 -1.9038 -1.7740 -1.6743 -1.5964
 -1.5329 -1.4791 -1.4322 -1.3903
 -4.2279 -3.8808 -3.5975 -3.3665 -3.1776 -3.0229 -2.8965 -2.7930 -2.7063 -2.6303
 -2.5598 -2.4875 -2.4109 -2.3339 -2.2496 -2.0486 -1.8887 -1.7666 -1.6748 -1.6040
 -1.5465 -1.4977 -1.4546 -1.4159 -1.3805 -1.3483 -1.3197 -1.2966 -1.2815 -1.2773
 -4.1110 -3.8015 -3.5459 -3.3337 -3.1552 -3.0037 -2.8744 -2.7639 -2.6694 -2.5864
 -2.5101 -2.4370 -2.3643 -2.2942 -2.2203 -2.0325 -1.8782 -1.7606 -1.6733 -1.6084
 -1.5571 -1.5138 -1.4757 -1.4410 -1.4089 -1.3789 -1.3517 -1.3273 -1.3092 -1.3007
 -1.3030
 -3.9837 -3.7092 -3.4810 -3.2895 -3.1258 -2.9829 -2.8565 -2.7443 -2.6451 -2.5575
 -2.4780 -2.4033 -2.3311 -2.2608 -2.1931 -2.0204 -1.8713 -1.7556 -1.6703 -1.6085
 -1.5624 -1.5252 -1.4927 -1.4632 -1.4356 -1.4092 -1.3845 -1.3619 -1.3426 -1.3289
 -1.3267
 -3.8508 -3.6086 -3.4043 -3.2318 -3.0832 -2.9514 -2.8321 -2.7230 -2.6235 -2.5334
 -2.4518 -2.3764 -2.3048 -2.2354 -2.1691 -2.0070 -1.8650 -1.7512 -1.6659 -1.6048
 -1.5617 -1.5296 -1.5033 -1.4799 -1.4579 -1.4365 -1.4159 -1.3961 -1.3781 -1.3632
 -1.3546
 -3.7273 -3.5143 -3.3283 -3.1697 -3.0334 -2.9122 -2.8015 -2.6981 -2.6016 -2.5120
 -2.4295 -2.3536 -2.2829 -2.2156 -2.1508 -1.9961 -1.8597 -1.7486 -1.6633 -1.6011
 -1.5581 -1.5285 -1.5072 -1.4899 -1.4742 -1.4589 -1.4437 -1.4286 -1.4139 -1.4005
 -1.3882
 -3.6169 -3.4273 -3.2572 -3.1081 -2.9788 -2.8655 -2.7624 -2.6659 -2.5744 -2.4878
 -2.4064 -2.3307 -2.2606 -2.1951 -2.1326 -1.9854 -1.8539 -1.7452 -1.6606 -1.5977
 -1.5534 -1.5239 -1.5049 -1.4923 -1.4827 -1.4739 -1.4651 -1.4558 -1.4461 -1.4365
 -1.4280
 -3.5197 -3.3476 -3.1925 -3.0513 -2.9263 -2.8162 -2.7176 -2.6267 -2.5406 -2.4585
 -2.3802 -2.3062 -2.2371 -2.1728 -2.1145 -1.9749 -1.8476 -1.7410 -1.6578
 [Fe/H] = -2.00 [alpha/Fe] = 0.40 BC value = G_BP 
 -6.1595 -5.6418 -5.1934 -4.8102 -4.4854 -4.2028 -3.9467 -3.7073 -3.4907 -3.3027
 -3.1338 -2.9754 -2.8240 -2.6826 -2.5418 -2.2632 -2.0321 -1.8415 -1.6920
 -5.7600 -5.2424 -4.7936 -4.4156 -4.1021 -3.8419 -3.6218 -3.4247 -3.2508 -3.0988
 -2.9606 -2.8273 -2.6938 -2.5640 -2.4433 -2.1863 -1.9799 -1.8120 -1.6788 -1.5749
 -5.3482 -4.8347 -4.4142 -4.1203 -3.8379 -3.5993 -3.3986 -3.2262 -3.0768 -2.9468
 -2.8299 -2.7178 -2.6024 -2.4835 -2.3700 -2.1293 -1.9409 -1.7904 -1.6707 -1.5764
 -1.4999
 -5.0412 -4.5297 -4.1281 -3.8221 -3.5868 -3.3984 -3.2371 -3.0891 -2.9538 -2.8338
 -2.7280 -2.6308 -2.5336 -2.4285 -2.3219 -2.0922 -1.9151 -1.7767 -1.6677 -1.5815
 -1.5118 -1.4533
 -4.9215 -4.4063 -3.9907 -3.6694 -3.4240 -3.2354 -3.0873 -2.9664 -2.8613 -2.7615
 -2.6597 -2.5648 -2.4766 -2.3869 -2.2898 -2.0689 -1.8988 -1.7684 -1.6674 -1.5884
 -1.5243 -1.4704 -1.4235 -1.3820
 -4.8681 -4.3556 -3.9394 -3.6080 -3.3468 -3.1419 -2.9818 -2.8566 -2.7578 -2.6788
 -2.6044 -2.5215 -2.4361 -2.3521 -2.2653 -2.0544 -1.8886 -1.7629 -1.6677 -1.5948
 -1.5365 -1.4875 -1.4447 -1.4063 -1.3715 -1.3400 -1.3122 -1.2898 -1.2750 -1.2706
 -4.8192 -4.3287 -3.9220 -3.5941 -3.3319 -3.1225 -2.9548 -2.8200 -2.7108 -2.6197
 -2.5411 -2.4702 -2.3984 -2.3236 -2.2446 -2.0448 -1.8818 -1.7588 -1.6670 -1.5987
 -1.5460 -1.5025 -1.4645 -1.4302 -1.3987 -1.3695 -1.3432 -1.3198 -1.3023 -1.2938
 -1.2962
 -4.7537 -4.2937 -3.9077 -3.5912 -3.3339 -3.1248 -2.9534 -2.8117 -2.6940 -2.5951
 -2.5089 -2.4310 -2.3587 -2.2900 -2.2214 -2.0370 -1.8771 -1.7552 -1.6649 -1.5991
 -1.5510 -1.5131 -1.4807 -1.4515 -1.4244 -1.3988 -1.3751 -1.3534 -1.3350 -1.3220
 -1.3199
 -4.6589 -4.2349 -3.8776 -3.5791 -3.3330 -3.1292 -2.9587 -2.8143 -2.6908 -2.5848
 -2.4924 -2.4099 -2.3337 -2.2619 -2.1947 -2.0263 -1.8723 -1.7508 -1.6608 -1.5960
 -1.5504 -1.5172 -1.4907 -1.4675 -1.4459 -1.4252 -1.4054 -1.3867 -1.3698 -1.3558
 -1.3478
 -4.5446 -4.1711 -3.8441 -3.5649 -3.3304 -3.1337 -2.9665 -2.8221 -2.6961 -2.5853
 -2.4874 -2.4003 -2.3212 -2.2474 -2.1781 -2.0162 -1.8696 -1.7490 -1.6582 -1.5925
 -1.5470 -1.5162 -1.4944 -1.4772 -1.4618 -1.4470 -1.4326 -1.4185 -1.4048 -1.3925
 -1.3812
 -4.4237 -4.0984 -3.8042 -3.5456 -3.3234 -3.1337 -2.9705 -2.8279 -2.7014 -2.5883
 -2.4868 -2.3957 -2.3134 -2.2380 -2.1676 -2.0071 -1.8654 -1.7475 -1.6560 -1.5890
 -1.5423 -1.5116 -1.4921 -1.4795 -1.4701 -1.4618 -1.4536 -1.4452 -1.4364 -1.4279
 -1.4203
 -4.2987 -4.0180 -3.7612 -3.5268 -3.3164 -3.1316 -2.9719 -2.8310 -2.7048 -2.5909
 -2.4873 -2.3933 -2.3080 -2.2304 -2.1632 -1.9990 -1.8597 -1.7463 -1.6542
 [Fe/H] = -1.50 [alpha/Fe] = 0.40 BC value = G_BP 
 -6.9727 -6.5413 -6.1326 -5.7413 -5.3690 -4.9846 -4.5543 -4.0852 -3.6870 -3.3719
 -3.1240 -2.9245 -2.7580 -2.6147 -2.4881 -2.2241 -2.0108 -1.8337 -1.6893
 -6.6011 -6.1272 -5.6835 -5.2728 -4.8921 -4.5322 -4.1645 -3.7865 -3.4633 -3.2002
 -2.9868 -2.8093 -2.6567 -2.5221 -2.4021 -2.1537 -1.9589 -1.8015 -1.6730 -1.5693
 -6.3098 -5.8245 -5.3662 -4.9442 -4.5637 -4.2218 -3.9034 -3.5883 -3.3117 -3.0817
 -2.8921 -2.7321 -2.5915 -2.4640 -2.3486 -2.1095 -1.9257 -1.7806 -1.6638 -1.5692
 -1.4926
 -5.9470 -5.4546 -5.0558 -4.6786 -4.3238 -3.9995 -3.7098 -3.4411 -3.1990 -2.9928
 -2.8205 -2.6749 -2.5464 -2.4275 -2.3165 -2.0834 -1.9058 -1.7684 -1.6597 -1.5725
 -1.5018 -1.4428
 -5.6402 -5.1243 -4.6947 -4.3355 -4.0322 -3.7723 -3.5414 -3.3186 -3.1094 -2.9236
 -2.7642 -2.6285 -2.5106 -2.4018 -2.2970 -2.0689 -1.8948 -1.7619 -1.6589 -1.5775
 -1.5122 -1.4578 -1.4109 -1.3698
 -5.5321 -4.9718 -4.4992 -4.1093 -3.7910 -3.5305 -3.3182 -3.1449 -2.9958 -2.8570
 -2.7206 -2.5937 -2.4807 -2.3795 -2.2831 -2.0614 -1.8889 -1.7586 -1.6594 -1.5826
 -1.5223 -1.4727 -1.4300 -1.3921 -1.3581 -1.3276 -1.3010 -1.2797 -1.2653 -1.2605
 -5.5262 -4.9368 -4.4339 -4.0201 -3.6847 -3.4142 -3.1953 -3.0163 -2.8687 -2.7482
 -2.6481 -2.5539 -2.4572 -2.3615 -2.2702 -2.0577 -1.8860 -1.7567 -1.6597 -1.5863
 -1.5303 -1.4857 -1.4478 -1.4142 -1.3834 -1.3554 -1.3303 -1.3088 -1.2920 -1.2833
 -1.2851
 -5.5521 -4.9562 -4.4381 -4.0057 -3.6548 -3.3729 -3.1460 -2.9617 -2.8110 -2.6857
 -2.5804 -2.4913 -2.4131 -2.3361 -2.2563 -2.0553 -1.8847 -1.7552 -1.6589 -1.5876
 -1.5329 -1.4950 -1.4624 -1.4337 -1.4074 -1.3829 -1.3606 -1.3395 -1.3221 -1.3113
 -1.3089
 -5.5474 -4.9719 -4.4564 -4.0210 -3.6618 -3.3712 -3.1369 -2.9461 -2.7896 -2.6597
 -2.5501 -2.4555 -2.3722 -2.2977 -2.2280 -2.0494 -1.8826 -1.7526 -1.6561 -1.5856
 -1.5350 -1.4988 -1.4713 -1.4484 -1.4276 -1.4079 -1.3895 -1.3722 -1.3568 -1.3443
 -1.3370
 -5.4994 -4.9614 -4.4749 -4.0487 -3.6907 -3.3963 -3.1564 -2.9595 -2.7966 -2.6601
 -2.5442 -2.4444 -2.3564 -2.2772 -2.2048 -2.0398 -1.8824 -1.7521 -1.6544 -1.5832
