 [Fe/H] = -4.00 [alpha/Fe] = 0.40 BC value = F277W
  0.3457  0.3448  0.3389  0.3280  0.3116  0.2904  0.2664  0.2439  0.2265  0.2158
  0.2046  0.1934  0.2015  0.2018  0.1673  0.0245 -0.1366 -0.3004 -0.4625 -0.6182
 -0.7667 -0.9088 -1.0454 -1.1772 -1.3050 -1.4292
  0.2747  0.2853  0.2924  0.2936  0.2881  0.2757  0.2579  0.2371  0.2169  0.1999
  0.1854  0.1705  0.1548  0.1563  0.1268  0.0014 -0.1503 -0.3080 -0.4672 -0.6229
 -0.7717 -0.9136 -1.0496 -1.1804 -1.3068 -1.4293 -1.5484 -1.6645 -1.7776 -1.8872
  0.1794  0.1983  0.2166  0.2318  0.2397  0.2387  0.2298  0.2144  0.1957  0.1764
  0.1583  0.1406  0.1209  0.1109  0.0872 -0.0259 -0.1672 -0.3171 -0.4711 -0.6252
 -0.7746 -0.9170 -1.0529 -1.1833 -1.3088 -1.4301 -1.5478 -1.6621 -1.7736 -1.8825
 -1.9884
  0.1246  0.1091  0.1156  0.1418  0.1636  0.1767  0.1799  0.1739  0.1608  0.1437
  0.1250  0.1056  0.0850  0.0656  0.0472 -0.0536 -0.1857 -0.3287 -0.4747 -0.6263
 -0.7742 -0.9185 -1.0551 -1.1855 -1.3107 -1.4312 -1.5479 -1.6612 -1.7715 -1.8787
 -1.9832
 -0.0483 -0.0142  0.0107  0.0274  0.0590  0.0863  0.1037  0.1109  0.1080  0.0974
  0.0822  0.0641  0.0442  0.0234  0.0048 -0.0836 -0.2056 -0.3429 -0.4852 -0.6302
 -0.7763 -0.9200 -1.0580 -1.1895 -1.3150 -1.4355 -1.5517 -1.6640 -1.7729 -1.8789
 -1.9823
 -0.1624 -0.1391 -0.1188 -0.1014 -0.0647 -0.0302  0.0007  0.0223  0.0333  0.0339
  0.0266  0.0136 -0.0029 -0.0219 -0.0411 -0.1156 -0.2251 -0.3548 -0.4928 -0.6333
 -0.7750 -0.9166 -1.0550 -1.1878 -1.3144 -1.4354 -1.5516 -1.6636 -1.7718 -1.8767
 -1.9808
 -0.2780 -0.2655 -0.2463 -0.2211 -0.1868 -0.1456 -0.1062 -0.0931 -0.0674 -0.0523
 -0.0474 -0.0509 -0.0607 -0.0747 -0.0917 -0.1524 -0.2481 -0.3681 -0.5005 -0.6374
 -0.7754 -0.9136 -1.0503 -1.1837 -1.3117 -1.4339 -1.5508 -1.6631 -1.7712 -1.8758
 -1.9771
 -0.3951 -0.3936 -0.3717 -0.3317 -0.3073 -0.2599 -0.2480 -0.2068 -0.1720 -0.1635
 -0.1441 -0.1343 -0.1331 -0.1389 -0.1470 -0.1940 -0.2746 -0.3828 -0.5083
 [Fe/H] = -2.50 [alpha/Fe] = 0.40 BC value = F277W
  0.1044  0.0371  0.0058  0.0437  0.1439  0.2683  0.4004  0.5239  0.5944  0.5728
  0.5250  0.4464  0.3649  0.3268  0.2732  0.1075
  0.2244  0.1697  0.1278  0.1180  0.1412  0.1857  0.2469  0.3178  0.3774  0.4064
  0.4218  0.4096  0.3672  0.3183  0.2569  0.0874 -0.0830 -0.2525 -0.4163
  0.3121  0.2687  0.2231  0.1847  0.1586  0.1490  0.1588  0.1877  0.2303  0.2805
  0.3292  0.3596  0.3505  0.3034  0.2402  0.0698 -0.0999 -0.2686 -0.4319 -0.5890
 -0.7404
  0.3675  0.3341  0.2917  0.2438  0.1961  0.1582  0.1361  0.1336  0.1531  0.1951
  0.2472  0.2964  0.3148  0.2821  0.2231  0.0547 -0.1141 -0.2816 -0.4444 -0.6005
 -0.7502 -0.8944 -1.0340
  0.3906  0.3659  0.3336  0.2953  0.2537  0.2133  0.1788  0.1555  0.1458  0.1502
  0.1758  0.2200  0.2601  0.2544  0.2056  0.0421 -0.1256 -0.2915 -0.4538 -0.6094
 -0.7582 -0.9012 -1.0390 -1.1725 -1.3022
  0.3866  0.3704  0.3474  0.3188  0.2859  0.2514  0.2188  0.1928  0.1750  0.1650
  0.1605  0.1671  0.1960  0.2123  0.1825  0.0305 -0.1352 -0.2991 -0.4606 -0.6162
 -0.7646 -0.9068 -1.0435 -1.1755 -1.3034 -1.4278
  0.3579  0.3507  0.3372  0.3183  0.2947  0.2674  0.2384  0.2116  0.1905  0.1761
  0.1654  0.1549  0.1534  0.1655  0.1484  0.0176 -0.1442 -0.3055 -0.4652 -0.6207
 -0.7694 -0.9114 -1.0474 -1.1784 -1.3050 -1.4276 -1.5469 -1.6632 -1.7764 -1.8860
  0.3045  0.3067  0.3037  0.2954  0.2818  0.2632  0.2405  0.2158  0.1922  0.1730
  0.1580  0.1438  0.1272  0.1252  0.1119 -0.0015 -0.1540 -0.3118 -0.4684 -0.6229
 -0.7722 -0.9146 -1.0506 -1.1811 -1.3067 -1.4282 -1.5462 -1.6608 -1.7724 -1.8813
 -1.9872
  0.2285  0.2377  0.2445  0.2482  0.2462  0.2382  0.2241  0.2052  0.1835  0.1617
  0.1422  0.1246  0.1058  0.0885  0.0766 -0.0270 -0.1675 -0.3193 -0.4719 -0.6236
 -0.7726 -0.9160 -1.0526 -1.1832 -1.3084 -1.4292 -1.5461 -1.6594 -1.7695 -1.8769
 -1.9820
  0.1365  0.1489  0.1613  0.1750  0.1851  0.1897  0.1866  0.1765  0.1605  0.1408
  0.1199  0.0993  0.0787  0.0573  0.0412 -0.0544 -0.1859 -0.3310 -0.4789 -0.6267
 -0.7737 -0.9175 -1.0555 -1.1870 -1.3126 -1.4332 -1.5496 -1.6622 -1.7714 -1.8775
 -1.9810
  0.0363  0.0478  0.0611  0.0794  0.0990  0.1147  0.1247  0.1261  0.1195  0.1062
  0.0883  0.0680  0.0466  0.0246  0.0037 -0.0810 -0.2033 -0.3416 -0.4849 -0.6286
 -0.7720 -0.9141 -1.0525 -1.1853 -1.3120 -1.4331 -1.5495 -1.6616 -1.7701 -1.8752
 -1.9794
 -0.0703 -0.0607 -0.0475 -0.0304 -0.0090  0.0152  0.0357  0.0496  0.0550  0.0520
  0.0417  0.0258  0.0067 -0.0143 -0.0362 -0.1110 -0.2227 -0.3532 -0.4917 -0.6319
 -0.7717 -0.9107 -1.0479 -1.1813 -1.3093 -1.4316 -1.5486 -1.6611 -1.7694 -1.8741
 -1.9756
 -0.1834 -0.1766 -0.1614 -0.1484 -0.1278 -0.1028 -0.0765 -0.0525 -0.0355 -0.0264
 -0.0257 -0.0327 -0.0457 -0.0630 -0.0785 -0.1444 -0.2441 -0.3658 -0.4993
 [Fe/H] = -2.00 [alpha/Fe] = 0.40 BC value = F277W
  0.2687  0.2879  0.3054  0.3107  0.3403  0.3733  0.4026  0.4302  0.4477  0.4588
  0.4553  0.4295  0.3887  0.3348  0.2602  0.0987
  0.2266  0.2226  0.2256  0.2363  0.2564  0.2823  0.3094  0.3345  0.3575  0.3818
  0.3999  0.3976  0.3658  0.3110  0.2429  0.0768 -0.0875 -0.2508 -0.4151
  0.2373  0.2170  0.2038  0.1979  0.2002  0.2114  0.2297  0.2498  0.2735  0.3038
  0.3355  0.3535  0.3384  0.2901  0.2272  0.0591 -0.1056 -0.2677 -0.4299 -0.5868
 -0.7382
  0.3008  0.2711  0.2400  0.1955  0.1716  0.1607  0.1635  0.1761  0.1957  0.2248
  0.2621  0.2972  0.3065  0.2721  0.2131  0.0456 -0.1198 -0.2813 -0.4420 -0.5978
 -0.7476 -0.8918 -1.0317
  0.3668  0.3371  0.2979  0.2517  0.2056  0.1666  0.1405  0.1308  0.1362  0.1551
  0.1862  0.2264  0.2590  0.2498  0.2006  0.0363 -0.1301 -0.2916 -0.4514 -0.6065
 -0.7552 -0.8983 -1.0362 -1.1699 -1.2999
  0.3916  0.3707  0.3400  0.3002  0.2562  0.2133  0.1756  0.1466  0.1290  0.1250
  0.1355  0.1603  0.1942  0.2136  0.1845  0.0296 -0.1372 -0.2991 -0.4582 -0.6129
 -0.7613 -0.9036 -1.0404 -1.1726 -1.3008 -1.4254
  0.3913  0.3779  0.3555  0.3245  0.2872  0.2469  0.2084  0.1761  0.1527  0.1376
  0.1300  0.1298  0.1439  0.1629  0.1573  0.0234 -0.1421 -0.3042 -0.4627 -0.6172
 -0.7657 -0.9078 -1.0440 -1.1753 -1.3021 -1.4251 -1.5448 -1.6612 -1.7744 -1.8839
  0.3735  0.3660  0.3507  0.3278  0.2986  0.2651  0.2296  0.1963  0.1687  0.1493
  0.1359  0.1253  0.1187  0.1240  0.1220  0.0146 -0.1463 -0.3079 -0.4654 -0.6194
 -0.7683 -0.9108 -1.0469 -1.1776 -1.3035 -1.4253 -1.5436 -1.6585 -1.7703 -1.8791
 -1.9851
  0.3363  0.3365  0.3285  0.3135  0.2926  0.2670  0.2377  0.2070  0.1775  0.1526
  0.1340  0.1190  0.1039  0.0938  0.0886 -0.0031 -0.1516 -0.3111 -0.4672 -0.6199
 -0.7687 -0.9120 -1.0487 -1.1794 -1.3049 -1.4259 -1.5432 -1.6568 -1.7673 -1.8748
 -1.9799
  0.2786  0.2879  0.2876  0.2811  0.2688  0.2518  0.2304  0.2055  0.1784  0.1517
  0.1278  0.1074  0.0885  0.0697  0.0567 -0.0295 -0.1642 -0.3175 -0.4715 -0.6221
 -0.7698 -0.9135 -1.0514 -1.1830 -1.3088 -1.4296 -1.5464 -1.6593 -1.7688 -1.8752
 -1.9789
  0.2044  0.2183  0.2251  0.2270  0.2244  0.2172  0.2053  0.1886  0.1675  0.1434
  0.1183  0.0940  0.0710  0.0485  0.0276 -0.0544 -0.1803 -0.3245 -0.4742 -0.6222
 -0.7675 -0.9101 -1.0484 -1.1812 -1.3080 -1.4293 -1.5459 -1.6584 -1.7672 -1.8727
 -1.9772
  0.1184  0.1318  0.1435  0.1517  0.1571  0.1596  0.1580  0.1514  0.1390  0.1213
  0.0996  0.0755  0.0507  0.0259  0.0011 -0.0787 -0.1976 -0.3345 -0.4788 -0.6236
 -0.7661 -0.9063 -1.0438 -1.1772 -1.3053 -1.4276 -1.5449 -1.6576 -1.7662 -1.8713
 -1.9731
  0.0215  0.0354  0.0482  0.0600  0.0705  0.0795  0.0866  0.0902  0.0882  0.0797
  0.0653  0.0459  0.0231 -0.0017 -0.0228 -0.1024 -0.2161 -0.3475 -0.4853
 [Fe/H] = -1.50 [alpha/Fe] = 0.40 BC value = F277W
  0.2796  0.2862  0.3056  0.3409  0.4028  0.4597  0.4896  0.5085  0.5094  0.5007
  0.4763  0.4328  0.3793  0.3198  0.2557  0.0906
  0.2398  0.2444  0.2589  0.2857  0.3289  0.3751  0.4092  0.4236  0.4297  0.4328
  0.4270  0.4023  0.3558  0.2957  0.2305  0.0646 -0.0969 -0.2530 -0.4109
  0.2245  0.2211  0.2263  0.2417  0.2680  0.3025  0.3349  0.3468  0.3551  0.3647
  0.3716  0.3642  0.3310  0.2762  0.2122  0.0458 -0.1159 -0.2711 -0.4269 -0.5829
 -0.7346
  0.2337  0.2163  0.2078  0.2089  0.2201  0.2418  0.2667  0.2781  0.2856  0.2964
  0.3101  0.3185  0.3049  0.2613  0.2008  0.0342 -0.1291 -0.2849 -0.4395 -0.5937
 -0.7433 -0.8877 -1.0276
  0.2976  0.2694  0.2306  0.2042  0.1911  0.1922  0.2052  0.2153  0.2207  0.2292
  0.2438  0.2611  0.2679  0.2440  0.1918  0.0275 -0.1375 -0.2949 -0.4491 -0.6021
 -0.7507 -0.8938 -1.0320 -1.1661 -1.2964
  0.3677  0.3391  0.3000  0.2575  0.2185  0.1885  0.1722  0.1698  0.1694  0.1716
  0.1803  0.1965  0.2151  0.2156  0.1803  0.0240 -0.1422 -0.3016 -0.4560 -0.6083
 -0.7563 -0.8987 -1.0357 -1.1683 -1.2968 -1.4218
  0.3926  0.3748  0.3475  0.3113  0.2695  0.2284  0.1935  0.1684  0.1523  0.1435
  0.1411  0.1456  0.1572  0.1701  0.1592  0.0217 -0.1443 -0.3054 -0.4607 -0.6126
 -0.7603 -0.9024 -1.0388 -1.1704 -1.2976 -1.4210 -1.5411 -1.6580 -1.7713 -1.8805
  0.3915  0.3812  0.3633  0.3355  0.2995  0.2589  0.2190  0.1852  0.1601  0.1425
  0.1308  0.1247  0.1233  0.1256  0.1240  0.0182 -0.1450 -0.3071 -0.4632 -0.6151
 -0.7627 -0.9049 -1.0411 -1.1721 -1.2985 -1.4207 -1.5395 -1.6549 -1.7670 -1.8759
 -1.9814
  0.3769  0.3713  0.3596  0.3395  0.3110  0.2759  0.2375  0.2003  0.1682  0.1441
  0.1273  0.1147  0.1050  0.0985  0.0911  0.0096 -0.1456 -0.3074 -0.4640 -0.6158
 -0.7625 -0.9059 -1.0425 -1.1734 -1.2993 -1.4208 -1.5386 -1.6529 -1.7637 -1.8715
 -1.9763
  0.3511  0.3510  0.3448  0.3303  0.3083  0.2797  0.2463  0.2111  0.1766  0.1465
  0.1227  0.1048  0.0896  0.0757  0.0628 -0.0116 -0.1498 -0.3097 -0.4662 -0.6176
 -0.7647 -0.9076 -1.0450 -1.1767 -1.3027 -1.4240 -1.5412 -1.6547 -1.7647 -1.8716
 -1.9755
  0.3124  0.3184  0.3177  0.3097  0.2939  0.2718  0.2447  0.2146  0.1823  0.1505
  0.1214  0.0965  0.0755  0.0561  0.0371 -0.0368 -0.1598 -0.3104 -0.4655 -0.6160
 -0.7620 -0.9043 -1.0422 -1.1748 -1.3017 -1.4233 -1.5403 -1.6532 -1.7625 -1.8686
 -1.9737
  0.2583  0.2701  0.2753  0.2740  0.2649  0.2498  0.2301  0.2063  0.1793  0.1502
  0.1203  0.0914  0.0647  0.0399  0.0158 -0.0605 -0.1769 -0.3160 -0.4659 -0.6148
 -0.7594 -0.9003 -1.0377 -1.1709 -1.2988 -1.4214 -1.5390 -1.6520 -1.7611 -1.8667
 -1.9690
  0.1867  0.2032  0.2138  0.2188  0.2173  0.2098  0.1978  0.1819  0.1622  0.1388
  0.1125  0.0842  0.0552  0.0265 -0.0011 -0.0827 -0.2011 -0.3265 -0.4674
 [Fe/H] = -1.00 [alpha/Fe] = 0.40 BC value = F277W
  0.3088  0.3301  0.3641  0.4105  0.4885  0.5541  0.5823  0.5984  0.5870  0.5406
  0.4880  0.4267  0.3630  0.2993  0.2349  0.0740
  0.2721  0.2867  0.3127  0.3515  0.4088  0.4684  0.5111  0.5254  0.5167  0.4927
  0.4547  0.4035  0.3428  0.2779  0.2119  0.0485 -0.1098 -0.2619 -0.4105
  0.2448  0.2517  0.2687  0.2982  0.3400  0.3925  0.4414  0.4563  0.4552  0.4422
  0.4171  0.3777  0.3244  0.2621  0.1963  0.0311 -0.1285 -0.2801 -0.4273 -0.5777
 -0.7284
  0.2269  0.2251  0.2321  0.2506  0.2820  0.3265  0.3732  0.3911  0.3945  0.3891
  0.3752  0.3493  0.3078  0.2519  0.1881  0.0218 -0.1400 -0.2929 -0.4401 -0.5888
 -0.7373 -0.8818 -1.0219
  0.2326  0.2169  0.2103  0.2143  0.2311  0.2622  0.3043  0.3272  0.3334  0.3324
  0.3261  0.3123  0.2855  0.2412  0.1828  0.0177 -0.1461 -0.3014 -0.4496 -0.5973
 -0.7442 -0.8873 -1.0258 -1.1601 -1.2908
  0.3022  0.2625  0.2282  0.2057  0.1985  0.2094  0.2371  0.2637  0.2725  0.2735
  0.2713  0.2656  0.2525  0.2238  0.1760  0.0167 -0.1485 -0.3062 -0.4561 -0.6035
 -0.7494 -0.8915 -1.0288 -1.1617 -1.2908 -1.4164
  0.3721  0.3417  0.3031  0.2615  0.2243  0.1992  0.1947  0.2095  0.2177  0.2180
  0.2155  0.2125  0.2078  0.1943  0.1626  0.0169 -0.1484 -0.3082 -0.4602 -0.6079
 -0.7531 -0.8946 -1.0311 -1.1631 -1.2908 -1.4148 -1.5356 -1.6530 -1.7668 -1.8759
  0.3972  0.3794  0.3527  0.3174  0.2772  0.2387  0.2098  0.1959  0.1904  0.1830
  0.1750  0.1674  0.1608  0.1544  0.1370  0.0164 -0.1469 -0.3081 -0.4621 -0.6105
 -0.7554 -0.8965 -1.0327 -1.1640 -1.2909 -1.4138 -1.5332 -1.6493 -1.7620 -1.8713
 -1.9764
  0.3931  0.3834  0.3670  0.3420  0.3087  0.2705  0.2334  0.2040  0.1846  0.1701
  0.1562  0.1429  0.1306  0.1179  0.1029  0.0123 -0.1449 -0.3066 -0.4621 -0.6114
 -0.7564 -0.8973 -1.0334 -1.1645 -1.2909 -1.4130 -1.5315 -1.6464 -1.7580 -1.8665
 -1.9736
  0.3783  0.3708  0.3605  0.3437  0.3188  0.2864  0.2498  0.2141  0.1835  0.1598
  0.1412  0.1252  0.1096  0.0933  0.0750 -0.0014 -0.1455 -0.3065 -0.4631 -0.6133
 -0.7584 -0.8994 -1.0357 -1.1672 -1.2936 -1.4155 -1.5334 -1.6475 -1.7583 -1.8659
 -1.9704
  0.3589  0.3533  0.3464  0.3346  0.3161  0.2902  0.2583  0.2231  0.1880  0.1563
  0.1299  0.1084  0.0897  0.0710  0.0501 -0.0239 -0.1469 -0.3038 -0.4604 -0.6110
 -0.7562 -0.8969 -1.0333 -1.1652 -1.2921 -1.4141 -1.5317 -1.6453 -1.7554 -1.8622
 -1.9659
  0.3358  0.3331  0.3281  0.3201  0.3061  0.2856  0.2587  0.2271  0.1930  0.1586
  0.1264  0.0979  0.0734  0.0509  0.0277 -0.0483 -0.1600 -0.3027 -0.4576 -0.6081
 -0.7531 -0.8934 -1.0295 -1.1617 -1.2892 -1.4118 -1.5298 -1.6434 -1.7531 -1.8595
 -1.9625
  0.3014  0.3022  0.3020  0.2974  0.2884  0.2727  0.2508  0.2241  0.1935  0.1608
  0.1274  0.0948  0.0645  0.0363  0.0078 -0.0746 -0.1848 -0.3032 -0.4547
 [Fe/H] = -0.75 [alpha/Fe] = 0.30 BC value = F277W
  0.3355  0.3598  0.3969  0.4447  0.5244  0.5906  0.6181  0.6279  0.6062  0.5473
  0.4861  0.4204  0.3546  0.2890  0.2247  0.0653
  0.2984  0.3154  0.3442  0.3853  0.4449  0.5062  0.5494  0.5614  0.5449  0.5095
  0.4601  0.4008  0.3360  0.2693  0.2029  0.0403 -0.1163 -0.2666 -0.4124
  0.2691  0.2781  0.2978  0.3302  0.3750  0.4304  0.4810  0.4966  0.4909  0.4682
  0.4308  0.3806  0.3207  0.2556  0.1888  0.0238 -0.1346 -0.2849 -0.4293 -0.5756
 -0.7242
  0.2476  0.2479  0.2577  0.2794  0.3146  0.3631  0.4129  0.4335  0.4355  0.4234
  0.3982  0.3598  0.3087  0.2479  0.1824  0.0158 -0.1452 -0.2970 -0.4417 -0.5867
 -0.7338 -0.8782 -1.0186
  0.2435  0.2322  0.2296  0.2380  0.2597  0.2963  0.3433  0.3698  0.3772  0.3728
  0.3581  0.3322  0.2932  0.2408  0.1790  0.0129 -0.1502 -0.3045 -0.4506 -0.5952
 -0.7406 -0.8835 -1.0223 -1.1569 -1.2879
  0.2932  0.2571  0.2309  0.2177  0.2189  0.2378  0.2729  0.3047  0.3166  0.3173
  0.3101  0.2948  0.2690  0.2291  0.1751  0.0131 -0.1516 -0.3084 -0.4566 -0.6013
 -0.7457 -0.8874 -1.0248 -1.1579 -1.2871 -1.4130
  0.3749  0.3394  0.2975  0.2564  0.2243  0.2093  0.2179  0.2428  0.2569  0.2599
  0.2567  0.2484  0.2337  0.2078  0.1663  0.0145 -0.1505 -0.3095 -0.4600 -0.6055
 -0.7492 -0.8901 -1.0266 -1.1588 -1.2867 -1.4112 -1.5323 -1.6500 -1.7640 -1.8733
  0.4116  0.3896  0.3588  0.3202  0.2791  0.2431  0.2193  0.2146  0.2171  0.2150
  0.2092  0.2011  0.1903  0.1746  0.1477  0.0156 -0.1481 -0.3085 -0.4613 -0.6079
 -0.7514 -0.8917 -1.0278 -1.1593 -1.2864 -1.4096 -1.5294 -1.6459 -1.7590 -1.8685
 -1.9737
  0.4146  0.4018  0.3820  0.3536  0.3178  0.2790  0.2441  0.2201  0.2068  0.1960
  0.1831  0.1696  0.1555  0.1393  0.1186  0.0138 -0.1450 -0.3062 -0.4607 -0.6087
 -0.7523 -0.8924 -1.0281 -1.1593 -1.2859 -1.4084 -1.5272 -1.6425 -1.7546 -1.8634
 -1.9687
  0.4014  0.3932  0.3805  0.3609  0.3334  0.2992  0.2625  0.2288  0.2022  0.1824
  0.1657  0.1491  0.1316  0.1125  0.0904  0.0038 -0.1444 -0.3053 -0.4612 -0.6104
 -0.7545 -0.8945 -1.0303 -1.1617 -1.2882 -1.4104 -1.5286 -1.6432 -1.7544 -1.8624
 -1.9672
  0.3856  0.3776  0.3690  0.3550  0.3344  0.3067  0.2733  0.2379  0.2039  0.1745
  0.1503  0.1297  0.1102  0.0891  0.0654 -0.0152 -0.1435 -0.3015 -0.4578 -0.6079
 -0.7523 -0.8923 -1.0281 -1.1596 -1.2864 -1.4086 -1.5265 -1.6405 -1.7510 -1.8582
 -1.9623
  0.3685  0.3621  0.3542  0.3439  0.3279  0.3054  0.2769  0.2439  0.2088  0.1744
  0.1431  0.1156  0.0913  0.0679  0.0426 -0.0390 -0.1529 -0.2987 -0.4542 -0.6046
 -0.7491 -0.8889 -1.0245 -1.1561 -1.2834 -1.4060 -1.5242 -1.6381 -1.7483 -1.8550
 -1.9585
  0.3448  0.3410  0.3360  0.3279  0.3160  0.2980  0.2738  0.2448  0.2121  0.1775
  0.1430  0.1101  0.0797  0.0513  0.0220 -0.0676 -0.1726 -0.2969 -0.4504
 [Fe/H] = -0.50 [alpha/Fe] = 0.20 BC value = F277W
  0.3661  0.3928  0.4321  0.4822  0.5640  0.6308  0.6559  0.6666  0.6208  0.5608
  0.4834  0.4141  0.3459  0.2791  0.2137  0.0559
  0.3286  0.3479  0.3794  0.4230  0.4852  0.5479  0.5896  0.5960  0.5693  0.5221
  0.4629  0.3972  0.3290  0.2609  0.1938  0.0318 -0.1230 -0.2715 -0.4154
  0.2979  0.3091  0.3316  0.3668  0.4146  0.4722  0.5227  0.5370  0.5242  0.4903
  0.4411  0.3819  0.3167  0.2492  0.1815  0.0164 -0.1408 -0.2898 -0.4322 -0.5742
 -0.7200
  0.2740  0.2764  0.2887  0.3136  0.3521  0.4038  0.4552  0.4772  0.4760  0.4551
  0.4180  0.3682  0.3090  0.2440  0.1768  0.0097 -0.1503 -0.3012 -0.4441 -0.5854
 -0.7302 -0.8743 -1.0147
  0.2634  0.2552  0.2559  0.2680  0.2938  0.3350  0.3852  0.4144  0.4219  0.4125
  0.3878  0.3496  0.2997  0.2404  0.1755  0.0082 -0.1543 -0.3078 -0.4523 -0.5937
 -0.7368 -0.8792 -1.0178 -1.1526 -1.2838
  0.2932  0.2642  0.2456  0.2393  0.2469  0.2721  0.3130  0.3485  0.3628  0.3620
