 [Fe/H] = -2.50 [alpha/Fe] = 0.40 BC value = G_RP 
 -0.0058  0.0157 -0.0048 -0.0018  0.0404  0.0796  0.0803  0.0614  0.0612  0.0926
  0.1425  0.2052  0.2716  0.3324  0.3899  0.5026  0.5674  0.5945  0.6049
  0.0002  0.0654  0.1013  0.1263  0.1426  0.1496  0.1506  0.1512  0.1570  0.1711
  0.1960  0.2335  0.2832  0.3379  0.3898  0.4911  0.5495  0.5726  0.5762  0.5656
  0.0045  0.0896  0.1556  0.1984  0.2141  0.2157  0.2181  0.2228  0.2275  0.2328
  0.2442  0.2647  0.2985  0.3436  0.3893  0.4805  0.5337  0.5538  0.5532  0.5416
  0.5232
  0.0071  0.0883  0.1581  0.2145  0.2549  0.2779  0.2828  0.2762  0.2727  0.2777
  0.2871  0.2988  0.3175  0.3495  0.3884  0.4708  0.5200  0.5381  0.5359  0.5236
  0.5056  0.4833
  0.0282  0.0971  0.1598  0.2151  0.2613  0.2963  0.3190  0.3304  0.3317  0.3279
  0.3290  0.3363  0.3453  0.3627  0.3917  0.4644  0.5103  0.5269  0.5225  0.5086
  0.4899  0.4678  0.4428  0.4152
  0.0752  0.1276  0.1770  0.2234  0.2662  0.3036  0.3335  0.3548  0.3683  0.3760
  0.3798  0.3831  0.3880  0.3936  0.4080  0.4638  0.5059  0.5215  0.5147  0.4976
  0.4768  0.4536  0.4284  0.4010  0.3719  0.3407  0.3068  0.2675  0.2218  0.1740
  0.1480  0.1829  0.2165  0.2496  0.2827  0.3151  0.3451  0.3708  0.3902  0.4043
  0.4149  0.4235  0.4311  0.4353  0.4417  0.4741  0.5077  0.5221  0.5139  0.4927
  0.4679  0.4421  0.4152  0.3872  0.3581  0.3277  0.2953  0.2606  0.2205  0.1732
  0.1231
  0.2407  0.2603  0.2787  0.2972  0.3174  0.3397  0.3638  0.3879  0.4095  0.4267
  0.4402  0.4514  0.4615  0.4701  0.4756  0.4970  0.5177  0.5285  0.5196  0.4954
  0.4655  0.4352  0.4051  0.3750  0.3446  0.3138  0.2820  0.2487  0.2128  0.1721
  0.1232
  0.3465  0.3532  0.3591  0.3648  0.3721  0.3824  0.3965  0.4137  0.4322  0.4496
  0.4643  0.4761  0.4862  0.4956  0.5025  0.5212  0.5346  0.5396  0.5298  0.5042
  0.4702  0.4343  0.3994  0.3656  0.3325  0.3000  0.2674  0.2343  0.2000  0.1631
  0.1211
  0.4575  0.4545  0.4508  0.4468  0.4432  0.4423  0.4450  0.4524  0.4636  0.4768
  0.4900  0.5015  0.5108  0.5188  0.5255  0.5414  0.5522  0.5532  0.5424  0.5174
  0.4818  0.4418  0.4015  0.3626  0.3255  0.2898  0.2549  0.2206  0.1862  0.1508
  0.1137
  0.5720  0.5607  0.5491  0.5377  0.5265  0.5164  0.5092  0.5061  0.5076  0.5131
  0.5212  0.5301  0.5379  0.5441  0.5490  0.5594  0.5682  0.5672  0.5550  0.5310
  0.4963  0.4548  0.4107  0.3667  0.3245  0.2844  0.2460  0.2089  0.1729  0.1370
  0.1003
  0.6900  0.6718  0.6505  0.6339  0.6167  0.6001  0.5853  0.5733  0.5652  0.5613
  0.5614  0.5644  0.5687  0.5726  0.5730  0.5752  0.5826  0.5816  0.5676
 [Fe/H] = -2.00 [alpha/Fe] = 0.40 BC value = G_RP 
 -0.2190 -0.1719 -0.1369 -0.1096 -0.0869 -0.0637 -0.0355  0.0008  0.0439  0.0911
  0.1437  0.2023  0.2648  0.3257  0.3856  0.4963  0.5666  0.5983  0.6032
 -0.1225 -0.0624 -0.0191  0.0121  0.0357  0.0549  0.0730  0.0951  0.1210  0.1503
  0.1851  0.2275  0.2779  0.3311  0.3814  0.4824  0.5465  0.5762  0.5803  0.5699
 -0.0775  0.0083  0.0660  0.0958  0.1227  0.1422  0.1570  0.1711  0.1863  0.2034
  0.2242  0.2513  0.2881  0.3329  0.3779  0.4700  0.5290  0.5571  0.5607  0.5502
  0.5322
 -0.0685  0.0346  0.1085  0.1571  0.1873  0.2054  0.2169  0.2266  0.2383  0.2506
  0.2638  0.2798  0.3024  0.3360  0.3751  0.4591  0.5141  0.5410  0.5444  0.5335
  0.5155  0.4929
 -0.0741  0.0236  0.1085  0.1734  0.2200  0.2518  0.2720  0.2831  0.2874  0.2893
  0.2982  0.3102  0.3246  0.3453  0.3761  0.4519  0.5031  0.5287  0.5317  0.5198
  0.5010  0.4784  0.4527  0.4243
 -0.0673  0.0230  0.1041  0.1747  0.2339  0.2806  0.3149  0.3373  0.3487  0.3495
  0.3464  0.3478  0.3537  0.3649  0.3845  0.4496  0.4970  0.5212  0.5234  0.5099
  0.4891  0.4652  0.4392  0.4111  0.3810  0.3487  0.3136  0.2734  0.2273  0.1796
 -0.0379  0.0390  0.1107  0.1752  0.2322  0.2812  0.3216  0.3529  0.3751  0.3898
  0.3981  0.4008  0.4016  0.4029  0.4091  0.4532  0.4961  0.5187  0.5203  0.5049
  0.4811  0.4546  0.4269  0.3980  0.3680  0.3365  0.3030  0.2673  0.2263  0.1787
  0.1286
  0.0167  0.0778  0.1363  0.1904  0.2398  0.2845  0.3246  0.3592  0.3874  0.4090
  0.4252  0.4371  0.4452  0.4491  0.4506  0.4698  0.5010  0.5213  0.5225  0.5059
  0.4787  0.4482  0.4175  0.3865  0.3553  0.3235  0.2906  0.2561  0.2192  0.1776
  0.1284
  0.0964  0.1420  0.1856  0.2269  0.2654  0.3013  0.3354  0.3676  0.3969  0.4220
  0.4425  0.4588  0.4719  0.4820  0.4877  0.5001  0.5155  0.5290  0.5291  0.5121
  0.4824  0.4475  0.4122  0.3777  0.3439  0.3104  0.2767  0.2425  0.2070  0.1691
  0.1264
  0.1926  0.2235  0.2536  0.2826  0.3096  0.3350  0.3601  0.3854  0.4107  0.4349
  0.4569  0.4754  0.4907  0.5033  0.5129  0.5279  0.5374  0.5423  0.5393  0.5227
  0.4924  0.4543  0.4143  0.3750  0.3372  0.3007  0.2649  0.2295  0.1939  0.1574
  0.1193
  0.2967  0.3179  0.3366  0.3547  0.3713  0.3866  0.4018  0.4180  0.4358  0.4549
  0.4743  0.4925  0.5084  0.5217  0.5323  0.5497  0.5587  0.5592  0.5520  0.5349
  0.5054  0.4665  0.4231  0.3791  0.3364  0.2957  0.2563  0.2183  0.1812  0.1442
  0.1065
  0.4068  0.4183  0.4286  0.4378  0.4459  0.4529  0.4592  0.4664  0.4754  0.4866
  0.5000  0.5143  0.5285  0.5411  0.5459  0.5655  0.5794  0.5797  0.5672
 [Fe/H] = -1.50 [alpha/Fe] = 0.40 BC value = G_RP 
 -0.5045 -0.4476 -0.4007 -0.3581 -0.3183 -0.2703 -0.2024 -0.1128 -0.0249  0.0556
  0.1302  0.2005  0.2664  0.3264  0.3801  0.4876  0.5608  0.6012  0.6118
 -0.3754 -0.3105 -0.2592 -0.2165 -0.1777 -0.1378 -0.0871 -0.0212  0.0435  0.1041
  0.1620  0.2191  0.2757  0.3294  0.3783  0.4763  0.5424  0.5789  0.5892  0.5814
 -0.2838 -0.2097 -0.1519 -0.1057 -0.0671 -0.0319  0.0058  0.0534  0.1018  0.1477
  0.1917  0.2361  0.2827  0.3301  0.3748  0.4652  0.5261  0.5601  0.5703  0.5630
  0.5454
 -0.2241 -0.1314 -0.0641 -0.0180  0.0205  0.0539  0.0850  0.1193  0.1556  0.1905
  0.2239  0.2571  0.2927  0.3321  0.3723  0.4561  0.5127  0.5446  0.5547  0.5476
  0.5302  0.5073
 -0.1967 -0.0872 -0.0018  0.0624  0.1081  0.1376  0.1562  0.1778  0.2038  0.2310
  0.2577  0.2833  0.3093  0.3389  0.3729  0.4500  0.5030  0.5329  0.5423  0.5352
  0.5174  0.4942  0.4677  0.4382
 -0.1966 -0.0832  0.0151  0.0970  0.1616  0.2099  0.2419  0.2589  0.2682  0.2774
  0.2917  0.3108  0.3316  0.3532  0.3788  0.4477  0.4971  0.5250  0.5335  0.5259
  0.5069  0.4826  0.4555  0.4263  0.3949  0.3611  0.3244  0.2827  0.2358  0.1884
 -0.1954 -0.0843  0.0149  0.1011  0.1737  0.2323  0.2774  0.3111  0.3348  0.3485
  0.3535  0.3561  0.3631  0.3755  0.3926  0.4496  0.4952  0.5212  0.5286  0.5201
  0.4999  0.4734  0.4447  0.4146  0.3832  0.3503  0.3151  0.2773  0.2353  0.1874
  0.1377
 -0.1820 -0.0788  0.0159  0.1007  0.1742  0.2366  0.2881  0.3294  0.3614  0.3857
