 [Fe/H] = -4.00 [alpha/Fe] = 0.40 BC value =F150W2
  0.6466  0.6580  0.6703  0.6835  0.6922  0.6955  0.6937  0.6879  0.6796  0.6702
  0.6598  0.6474  0.6313  0.6110  0.5870  0.5095  0.4154  0.3130  0.2100  0.0980
 -0.0112 -0.1231 -0.2308 -0.3352 -0.4362 -0.5342 -0.6297 -0.7238 -0.8167 -0.9085
 -0.9992
  0.5502  0.5796  0.6011  0.6156  0.6312  0.6420  0.6470  0.6468  0.6420  0.6341
  0.6244  0.6129  0.5988  0.5810  0.5593  0.4866  0.3978  0.2992  0.1958  0.0897
 -0.0184 -0.1275 -0.2354 -0.3403 -0.4417 -0.5397 -0.6348 -0.7274 -0.8179 -0.9072
 -0.9963
  0.4600  0.4943  0.5197  0.5371  0.5588  0.5759  0.5884  0.5954  0.5967  0.5933
  0.5863  0.5767  0.5649  0.5501  0.5319  0.4667  0.3826  0.2881  0.1873  0.0835
 -0.0220 -0.1289 -0.2358 -0.3410 -0.4431 -0.5417 -0.6371 -0.7294 -0.8193 -0.9071
 -0.9949
  0.3715  0.4020  0.4311  0.4588  0.4852  0.5091  0.5286  0.5315  0.5406  0.5439
  0.5423  0.5365  0.5277  0.5161  0.5015  0.4471  0.3679  0.2778  0.1799  0.0781
 -0.0256 -0.1303 -0.2354 -0.3401 -0.4427 -0.5422 -0.6384 -0.7313 -0.8212 -0.9087
 -0.9943
  0.2848  0.3028  0.3353  0.3808  0.4102  0.4415  0.4483  0.4692  0.4851  0.4832
  0.4889  0.4894  0.4855  0.4779  0.4681  0.4278  0.3537  0.2683  0.1736
 [Fe/H] = -2.50 [alpha/Fe] = 0.40 BC value =F150W2
  0.9216  1.0029  1.1182  1.1514  1.0728  0.9915  0.9950  1.0439  1.0645  1.0397
  0.9955  0.9478  0.9074  0.8689  0.8248  0.7027
  0.9111  0.9431  0.9973  1.0201  0.9996  0.9773  0.9842  1.0043  1.0097  0.9934
  0.9637  0.9258  0.8853  0.8431  0.7979  0.6776  0.5502  0.4205  0.2934
  0.9025  0.9016  0.9132  0.9245  0.9351  0.9463  0.9560  0.9614  0.9598  0.9499
  0.9304  0.9006  0.8622  0.8188  0.7732  0.6544  0.5306  0.4037  0.2777  0.1536
  0.0314
  0.8958  0.8784  0.8659  0.8646  0.8793  0.8985  0.9104  0.9152  0.9148  0.9092
  0.8956  0.8722  0.8381  0.7960  0.7507  0.6331  0.5122  0.3883  0.2641  0.1421
  0.0231 -0.0931 -0.2069
  0.8910  0.8735  0.8554  0.8404  0.8322  0.8339  0.8474  0.8657  0.8747  0.8713
  0.8593  0.8406  0.8130  0.7747  0.7304  0.6137  0.4950  0.3743  0.2525  0.1324
  0.0153 -0.0988 -0.2100 -0.3187 -0.4257
  0.8776  0.8647  0.8487  0.8319  0.8168  0.8061  0.8019  0.8043  0.8123  0.8202
  0.8181  0.8044  0.7831  0.7518  0.7110  0.5962  0.4790  0.3612  0.2422  0.1237
  0.0079 -0.1046 -0.2141 -0.3210 -0.4255 -0.5282
  0.8517  0.8454  0.8350  0.8216  0.8067  0.7922  0.7802  0.7723  0.7678  0.7651
  0.7627  0.7562  0.7416  0.7194  0.6872  0.5799  0.4643  0.3488  0.2327  0.1162
  0.0014 -0.1104 -0.2188 -0.3242 -0.4270 -0.5276 -0.6264 -0.7245 -0.8223 -0.9171
  0.8125  0.8132  0.8097  0.8024  0.7918  0.7787  0.7647  0.7518  0.7409  0.7314
  0.7215  0.7100  0.6956  0.6776  0.6528  0.5616  0.4506  0.3372  0.2237  0.1096
 -0.0041 -0.1154 -0.2234 -0.3281 -0.4298 -0.5289 -0.6260 -0.7213 -0.8161 -0.9110
 -1.0037
  0.7620  0.7685  0.7715  0.7711  0.7667  0.7583  0.7467  0.7333  0.7196  0.7063
  0.6932  0.6784  0.6607  0.6403  0.6173  0.5377  0.4362  0.3263  0.2152  0.1037
 -0.0083 -0.1192 -0.2272 -0.3318 -0.4331 -0.5314 -0.6273 -0.7210 -0.8133 -0.9051
 -0.9976
  0.7032  0.7138  0.7218  0.7274  0.7295  0.7274  0.7208  0.7104  0.6972  0.6828
  0.6679  0.6520  0.6339  0.6126  0.5886  0.5129  0.4189  0.3141  0.2058  0.0965
 -0.0134 -0.1233 -0.2316 -0.3368 -0.4384 -0.5367 -0.6321 -0.7250 -0.8159 -0.9054
 -0.9947
  0.6363  0.6502  0.6625  0.6729  0.6808  0.6848  0.6844  0.6792  0.6696  0.6568
  0.6421  0.6260  0.6086  0.5886  0.5655  0.4922  0.4032  0.3035  0.1983  0.0913
 -0.0163 -0.1243 -0.2318 -0.3373 -0.4397 -0.5386 -0.6342 -0.7269 -0.8170 -0.9052
 -0.9932
  0.5613  0.5791  0.5949  0.6090  0.6212  0.6307  0.6362  0.6371  0.6331  0.6245
  0.6123  0.5975  0.5810  0.5627  0.5420  0.4745  0.3885  0.2933  0.1914  0.0866
 -0.0192 -0.1253 -0.2312 -0.3363 -0.4392 -0.5389 -0.6354 -0.7286 -0.8188 -0.9066
 -0.9924
  0.4781  0.5005  0.5200  0.5367  0.5525  0.5660  0.5764  0.5832  0.5854  0.5826
  0.5752  0.5639  0.5497  0.5333  0.5181  0.4598  0.3748  0.2835  0.1851
 [Fe/H] = -2.00 [alpha/Fe] = 0.40 BC value =F150W2
  1.0254  1.0329  1.0473  1.0701  1.0802  1.0832  1.0797  1.0676  1.0476  1.0201
  0.9867  0.9487  0.9085  0.8655  0.8168  0.6987
  0.9790  0.9907  1.0038  1.0167  1.0270  1.0328  1.0328  1.0259  1.0117  0.9902
  0.9612  0.9249  0.8837  0.8397  0.7928  0.6743  0.5506  0.4231  0.2947
  0.9449  0.9500  0.9583  0.9682  0.9774  0.9841  0.9863  0.9832  0.9739  0.9579
  0.9341  0.9016  0.8618  0.8178  0.7718  0.6530  0.5308  0.4060  0.2804  0.1564
  0.0349
  0.9231  0.9108  0.9108  0.9246  0.9314  0.9370  0.9402  0.9395  0.9342  0.9232
  0.9054  0.8788  0.8428  0.7998  0.7538  0.6348  0.5137  0.3911  0.2678  0.1460
  0.0269 -0.0894 -0.2037
  0.9144  0.8900  0.8786  0.8780  0.8839  0.8920  0.8987  0.9010  0.8969  0.8880
  0.8740  0.8534  0.8237  0.7840  0.7388  0.6197  0.4993  0.3784  0.2569  0.1369
  0.0197 -0.0946 -0.2061 -0.3152 -0.4225
  0.9159  0.8952  0.8732  0.8586  0.8513  0.8491  0.8501  0.8527  0.8557  0.8556
  0.8445  0.8263  0.8016  0.7681  0.7255  0.6073  0.4871  0.3674  0.2477  0.1290
  0.0129 -0.0999 -0.2098 -0.3170 -0.4220 -0.5250
  0.9118  0.8940  0.8730  0.8506  0.8292  0.8115  0.7990  0.7925  0.7919  0.7973
  0.8011  0.7935  0.7756  0.7485  0.7117  0.5967  0.4769  0.3581  0.2399  0.1224
  0.0070 -0.1051 -0.2139 -0.3198 -0.4230 -0.5240 -0.6233 -0.7218 -0.8196 -0.9143
  0.8969  0.8850  0.8681  0.8480  0.8266  0.8056  0.7866  0.7714  0.7599  0.7512
  0.7451  0.7408  0.7325  0.7159  0.6896  0.5867  0.4681  0.3499  0.2331  0.1170
  0.0023 -0.1096 -0.2180 -0.3231 -0.4253 -0.5249 -0.6224 -0.7181 -0.8133 -0.9083
 -1.0009
  0.8701  0.8640  0.8531  0.8382  0.8204  0.8009  0.7807  0.7614  0.7439  0.7284
  0.7141  0.6999  0.6860  0.6714  0.6525  0.5715  0.4598  0.3428  0.2270  0.1125
 -0.0011 -0.1129 -0.2214 -0.3265 -0.4282 -0.5269 -0.6233 -0.7175 -0.8102 -0.9023
 -0.9949
  0.8311  0.8318  0.8265  0.8174  0.8049  0.7896  0.7720  0.7529  0.7334  0.7141
  0.6955  0.6767  0.6569  0.6362  0.6151  0.5455  0.4470  0.3344  0.2201  0.1069
 -0.0053 -0.1165 -0.2254 -0.3310 -0.4331 -0.5318 -0.6278 -0.7212 -0.8125 -0.9025
 -0.9920
  0.7825  0.7883  0.7886  0.7851  0.7784  0.7685  0.7555  0.7397  0.7215  0.7018
  0.6813  0.6603  0.6384  0.6149  0.5900  0.5198  0.4309  0.3261  0.2149  0.1035
 -0.0071 -0.1168 -0.2252 -0.3313 -0.4341 -0.5334 -0.6295 -0.7227 -0.8133 -0.9020
 -0.9904
  0.7271  0.7361  0.7410  0.7425  0.7410  0.7365  0.7288  0.7177  0.7032  0.6856
  0.6659  0.6446  0.6221  0.5981  0.5724  0.4994  0.4140  0.3158  0.2093  0.1001
 -0.0088 -0.1169 -0.2241 -0.3299 -0.4333 -0.5335 -0.6304 -0.7241 -0.8148 -0.9031
 -0.9893
  0.6655  0.6771  0.6856  0.6912  0.6941  0.6942  0.6915  0.6855  0.6757  0.6622
  0.6454  0.6257  0.6041  0.5808  0.5623  0.4843  0.3963  0.3035  0.2033
 [Fe/H] = -1.50 [alpha/Fe] = 0.40 BC value =F150W2
  1.0826  1.0969  1.1105  1.1219  1.1277  1.1265  1.1152  1.0931  1.0619  1.0248
  0.9840  0.9417  0.8993  0.8560  0.8119  0.6954
  1.0437  1.0564  1.0691  1.0805  1.0877  1.0881  1.0793  1.0605  1.0338  1.0011
  0.9632  0.9214  0.8777  0.8330  0.7876  0.6705  0.5497  0.4256  0.2990
  1.0087  1.0182  1.0288  1.0390  1.0464  1.0480  1.0418  1.0266  1.0044  0.9763
  0.9424  0.9030  0.8598  0.8146  0.7684  0.6504  0.5302  0.4083  0.2848  0.1615
  0.0401
  0.9776  0.9823  0.9896  0.9974  1.0037  1.0063  1.0027  0.9914  0.9737  0.9504
  0.9216  0.8865  0.8456  0.8008  0.7543  0.6351  0.5148  0.3941  0.2728  0.1518
  0.0328 -0.0836 -0.1978
  0.9542  0.9473  0.9490  0.9567  0.9626  0.9650  0.9629  0.9549  0.9411  0.9222
  0.8984  0.8687  0.8324  0.7898  0.7437  0.6238  0.5030  0.3828  0.2628  0.1435
  0.0263 -0.0883 -0.2002 -0.3098 -0.4176
  0.9435  0.9256  0.9145  0.9093  0.9095  0.9145  0.9210  0.9190  0.9091  0.8934
  0.8731  0.8480  0.8172  0.7792  0.7350  0.6153  0.4941  0.3740  0.2548  0.1366
  0.0205 -0.0928 -0.2031 -0.3109 -0.4164 -0.5201
  0.9458  0.9252  0.9039  0.8842  0.8686  0.8577  0.8535  0.8566  0.8607  0.8590
  0.8470  0.8261  0.7991  0.7664  0.7265  0.6089  0.4874  0.3673  0.2485  0.1311
  0.0155 -0.0971 -0.2065 -0.3129 -0.4168 -0.5184 -0.6183 -0.7174 -0.8154 -0.9099
  0.9469  0.9273  0.9049  0.8811  0.8580  0.8372  0.8203  0.8073  0.7980  0.7934
  0.7933  0.7890  0.7743  0.7490  0.7152  0.6036  0.4823  0.3621  0.2437  0.1269
  0.0118 -0.1007 -0.2097 -0.3155 -0.4183 -0.5186 -0.6169 -0.7134 -0.8089 -0.9039
 -0.9961
  0.9417  0.9259  0.9056  0.8822  0.8571  0.8319  0.8083  0.7876  0.7697  0.7542
  0.7410  0.7311  0.7235  0.7116  0.6908  0.5977  0.4783  0.3581  0.2400  0.1238
  0.0107 -0.1032 -0.2124 -0.3181 -0.4204 -0.5199 -0.6171 -0.7120 -0.8053 -0.8979
 -0.9904
  0.9249  0.9154  0.9002  0.8798  0.8563  0.8311  0.8055  0.7807  0.7574  0.7361
  0.7162  0.6972  0.6793  0.6633  0.6474  0.5804  0.4727  0.3535  0.2356  0.1199
  0.0061 -0.1061 -0.2157 -0.3220 -0.4247 -0.5242 -0.6209 -0.7150 -0.8071 -0.8977
 -0.9876
  0.8966  0.8931  0.8846  0.8691  0.8496  0.8273  0.8032  0.7782  0.7530  0.7283
  0.7043  0.6808  0.6575  0.6341  0.6113  0.5511  0.4622  0.3503  0.2336  0.1187
  0.0058 -0.1055 -0.2149 -0.3217 -0.4252 -0.5251 -0.6220 -0.7159 -0.8073 -0.8967
 -0.9858
  0.8589  0.8605  0.8565  0.8474  0.8332  0.8154  0.7949  0.7724  0.7485  0.7235
  0.6979  0.6719  0.6456  0.6188  0.5915  0.5228  0.4433  0.3433  0.2313  0.1177
  0.0058 -0.1044 -0.2131 -0.3199 -0.4239 -0.5248 -0.6224 -0.7167 -0.8082 -0.8972
 -0.9842
  0.8134  0.8192  0.8197  0.8154  0.8064  0.7937  0.7778  0.7593  0.7385  0.7157
  0.6911  0.6650  0.6376  0.6093  0.5880  0.4955  0.4160  0.3325  0.2287
 [Fe/H] = -1.00 [alpha/Fe] = 0.40 BC value =F150W2
  1.1538  1.1668  1.1774  1.1844  1.1874  1.1800  1.1593  1.1258  1.0841  1.0312
  0.9817  0.9345  0.8885  0.8440  0.7998  0.6868
  1.1180  1.1317  1.1437  1.1526  1.1564  1.1515  1.1347  1.1043  1.0633  1.0165
  0.9675  0.9188  0.8714  0.8252  0.7795  0.6644  0.5473  0.4271  0.3039
  1.0829  1.0955  1.1074  1.1172  1.1222  1.1201  1.1074  1.0812  1.0449  1.0018
  0.9548  0.9063  0.8583  0.8110  0.7642  0.6471  0.5292  0.4103  0.2898  0.1684
  0.0475
  1.0485  1.0582  1.0685  1.0782  1.0848  1.0857  1.0774  1.0565  1.0255  0.9871
  0.9436  0.8970  0.8492  0.8014  0.7539  0.6349  0.5160  0.3973  0.2785  0.1595
  0.0411 -0.0754 -0.1900
  1.0171  1.0228  1.0303  1.0383  1.0450  1.0478  1.0437  1.0286  1.0032  0.9702
  0.9313  0.8881  0.8421  0.7947  0.7469  0.6267  0.5066  0.3876  0.2695  0.1520
  0.0355 -0.0792 -0.1916 -0.3017 -0.4101
  0.9842  0.9839  0.9901  0.9979  1.0046  1.0081  1.0065  0.9969  0.9772  0.9496
  0.9159  0.8773  0.8347  0.7892  0.7419  0.6212  0.5002  0.3807  0.2627  0.1460
  0.0307 -0.0827 -0.1935 -0.3018 -0.4079 -0.5125
  0.9733  0.9585  0.9485  0.9456  0.9495  0.9574  0.9627  0.9598  0.9470  0.9253
  0.8968  0.8631  0.8250  0.7829  0.7376  0.6176  0.4960  0.3759  0.2578  0.1414
  0.0268 -0.0857 -0.1956 -0.3027 -0.4074 -0.5100 -0.6109 -0.7107 -0.8091 -0.9034
  0.9733  0.9543  0.9355  0.9193  0.9075  0.9002  0.8963  0.8944  0.8922  0.8851
  0.8693  0.8440  0.8115  0.7740  0.7322  0.6152  0.4935  0.3729  0.2545  0.1382
  0.0240 -0.0882 -0.1976 -0.3041 -0.4078 -0.5091 -0.6083 -0.7058 -0.8022 -0.8974
 -0.9891
  0.9759  0.9562  0.9348  0.9128  0.8919  0.8734  0.8577  0.8438  0.8303  0.8173
  0.8067  0.7968  0.7814  0.7566  0.7226  0.6132  0.4920  0.3712  0.2525  0.1363
  0.0223 -0.0897 -0.1991 -0.3055 -0.4088 -0.5093 -0.6075 -0.7035 -0.7980 -0.8911
 -0.9847
  0.9765  0.9590  0.9378  0.9142  0.8894  0.8646  0.8409  0.8189  0.7981  0.7777
  0.7575  0.7387  0.7232  0.7091  0.6907  0.6076  0.4899  0.3690  0.2501  0.1339
  0.0200 -0.0919 -0.2016 -0.3084 -0.4120 -0.5125 -0.6103 -0.7055 -0.7987 -0.8902
 -0.9807
  0.9703  0.9566  0.9389  0.9168  0.8917  0.8647  0.8370  0.8098  0.7836  0.7583
  0.7336  0.7091  0.6853  0.6631  0.6434  0.5857  0.4884  0.3692  0.2505  0.1344
  0.0208 -0.0907 -0.2003 -0.3075 -0.4117 -0.5126 -0.6104 -0.7053 -0.7978 -0.8883
 -0.9772
  0.9535  0.9452  0.9320  0.9142  0.8919  0.8659  0.8377  0.8086  0.7794  0.7506
  0.7223  0.6945  0.6669  0.6395  0.6127  0.5509  0.4743  0.3687  0.2513  0.1355
  0.0223 -0.0888 -0.1979 -0.3052 -0.4099 -0.5115 -0.6100 -0.7053 -0.7978 -0.8879
 -0.9759
  0.9263  0.9230  0.9151  0.9021  0.8846  0.8623  0.8364  0.8082  0.7788  0.7488
  0.7187  0.6885  0.6583  0.6281  0.5986  0.5032  0.4476  0.3675  0.2525
 [Fe/H] = -0.75 [alpha/Fe] = 0.30 BC value =F150W2
  1.1785  1.1905  1.2002  1.2055  1.2066  1.1967  1.1720  1.1337  1.0877  1.0313
  0.9798  0.9306  0.8836  0.8383  0.7936  0.6826
  1.1454  1.1588  1.1701  1.1775  1.1793  1.1719  1.1516  1.1168  1.0709  1.0198
  0.9678  0.9171  0.8685  0.8216  0.7756  0.6614  0.5456  0.4275  0.3063
  1.1118  1.1247  1.1363  1.1450  1.1483  1.1439  1.1283  1.0982  1.0571  1.0090
  0.9581  0.9071  0.8575  0.8094  0.7623  0.6455  0.5289  0.4115  0.2926  0.1723
  0.0521
  1.0777  1.0882  1.0988  1.1080  1.1136  1.1128  1.1021  1.0779  1.0424  0.9989
  0.9507  0.9006  0.8506  0.8017  0.7537  0.6349  0.5168  0.3994  0.2817  0.1636
  0.0457 -0.0708 -0.1857
  1.0462  1.0530  1.0611  1.0692  1.0755  1.0775  1.0718  1.0540  1.0248  0.9868
  0.9427  0.8951  0.8460  0.7969  0.7483  0.6280  0.5085  0.3905  0.2733  0.1566
  0.0405 -0.0741 -0.1866 -0.2971 -0.4061
  1.0124  1.0170  1.0235  1.0305  1.0364  1.0394  1.0371  1.0256  1.0027  0.9708
  0.9320  0.8883  0.8415  0.7934  0.7448  0.6236  0.5031  0.3843  0.2670  0.1511
  0.0362 -0.0770 -0.1879 -0.2966 -0.4032 -0.5081
  0.9903  0.9796  0.9759  0.9796  0.9882  0.9959  0.9979  0.9920  0.9758  0.9501
  0.9171  0.8783  0.8354  0.7896  0.7421  0.6210  0.4998  0.3802  0.2627  0.1469
  0.0329 -0.0795 -0.1894 -0.2969 -0.4019 -0.5049 -0.6063 -0.7067 -0.8054 -0.8997
  0.9872  0.9693  0.9532  0.9411  0.9346  0.9327  0.9340  0.9355  0.9318  0.9189
  0.8955  0.8637  0.8259  0.7839  0.7390  0.6195  0.4979  0.3778  0.2599  0.1442
  0.0305 -0.0813 -0.1908 -0.2976 -0.4017 -0.5034 -0.6032 -0.7012 -0.7981 -0.8936
 -0.9853
  0.9893  0.9695  0.9488  0.9286  0.9106  0.8960  0.8842  0.8737  0.8626  0.8515
  0.8408  0.8267  0.8043  0.7723  0.7330  0.6185  0.4972  0.3767  0.2585  0.1427
  0.0292 -0.0824 -0.1917 -0.2983 -0.4020 -0.5030 -0.6016 -0.6983 -0.7933 -0.8870
 -0.9797
  0.9920  0.9730  0.9512  0.9279  0.9041  0.8812  0.8600  0.8406  0.8215  0.8016
  0.7814  0.7630  0.7474  0.7312  0.7087  0.6153  0.4960  0.3752  0.2566  0.1407
  0.0271 -0.0844 -0.1938 -0.3007 -0.4046 -0.5056 -0.6039 -0.6997 -0.7934 -0.8856
 -0.9766
  0.9904  0.9741  0.9546  0.9314  0.9058  0.8790  0.8521  0.8261  0.8009  0.7762
  0.7513  0.7261  0.7018  0.6798  0.6605  0.5991  0.4961  0.3764  0.2577  0.1418
  0.0284 -0.0829 -0.1922 -0.2994 -0.4038 -0.5051 -0.6034 -0.6989 -0.7920 -0.8831
 -0.9726
  0.9803  0.9687  0.9526  0.9327  0.9084  0.8812  0.8522  0.8227  0.7934  0.7645
  0.7361  0.7078  0.6794  0.6514  0.6245  0.5641  0.4859  0.3773  0.2594  0.1435
  0.0304 -0.0806 -0.1896 -0.2968 -0.4016 -0.5036 -0.6025 -0.6983 -0.7914 -0.8821
 -0.9707
  0.9602  0.9535  0.9423  0.9263  0.9060  0.8812  0.8532  0.8233  0.7925  0.7614
  0.7304  0.6995  0.6687  0.6377  0.6007  0.5103  0.4654  0.3779  0.2617
 [Fe/H] = -0.50 [alpha/Fe] = 0.20 BC value =F150W2
  1.2015  1.2130  1.2217  1.2255  1.2243  1.2114  1.1824  1.1419  1.0892  1.0338
  0.9765  0.9259  0.8777  0.8313  0.7864  0.6763
  1.1719  1.1849  1.1953  1.2011  1.2008  1.1904  1.1663  1.1267  1.0761  1.0215
  0.9669  0.9145  0.8647  0.8170  0.7707  0.6571  0.5433  0.4275  0.3086
  1.1406  1.1534  1.1644  1.1717  1.1731  1.1661  1.1471  1.1126  1.0666  1.0143
  0.9601  0.9069  0.8559  0.8070  0.7595  0.6430  0.5277  0.4123  0.2952  0.1764
  0.0571
  1.1076  1.1185  1.1290  1.1373  1.1413  1.1384  1.1248  1.0969  1.0568  1.0084
  0.9561  0.9031  0.8513  0.8013  0.7528  0.6340  0.5170  0.4010  0.2849  0.1681
  0.0509 -0.0656 -0.1804
  1.0764  1.0840  1.0924  1.1002  1.1056  1.1061  1.0982  1.0773  1.0439  1.0010
  0.9522  0.9007  0.8490  0.7984  0.7491  0.6285  0.5099  0.3930  0.2770  0.1614
  0.0461 -0.0683 -0.1809 -0.2916 -0.4007
  1.0449  1.0501  1.0563  1.0628  1.0680  1.0701  1.0665  1.0526  1.0263  0.9898
  0.9460  0.8976  0.8473  0.7969  0.7472  0.6254  0.5055  0.3875  0.2713  0.1563
  0.0422 -0.0707 -0.1817 -0.2906 -0.3975 -0.5028
  1.0112  1.0065  1.0095  1.0178  1.0262  1.0311  1.0305  1.0224  1.0032  0.9735
  0.9357  0.8919  0.8446  0.7955  0.7461  0.6238  0.5030  0.3842  0.2675  0.1527
  0.0393 -0.0726 -0.1825 -0.2902 -0.3956 -0.4991 -0.6011 -0.7019 -0.8008 -0.8953
  1.0031  0.9872  0.9745  0.9676  0.9665  0.9699  0.9751  0.9764  0.9686  0.9492
  0.9194  0.8818  0.8390  0.7929  0.7449  0.6232  0.5019  0.3823  0.2652  0.1503
  0.0373 -0.0740 -0.1832 -0.2902 -0.3947 -0.4969 -0.5972 -0.6958 -0.7932 -0.8890
 -0.9808
  1.0039  0.9844  0.9648  0.9469  0.9326  0.9222  0.9145  0.9075  0.8996  0.8899
  0.8767  0.8558  0.8252  0.7862  0.7422  0.6232  0.5019  0.3818  0.2643  0.1492
